sensitivity_variant,metric,contrasts_evaluated,direction_agreement_pct,direction_flips,primary_ci_supported,variant_ci_supported,ci_support_retained,ci_support_lost,ci_support_gained,median_abs_delta_difference,median_relative_abs_delta_difference,atlas_scope,interpretation_boundary
drop_insulin_adipose_metabolism,inflammatory_score,19,94.73684210526316,1,5,5,5,0,0,0.0177167279371205,0.0719086838319455,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_insulin_adipose_metabolism,repair_score,19,78.94736842105263,4,6,6,6,0,0,0.0290219732041103,0.1833526661359696,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_mito_repair,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_mito_repair,balance_score,19,73.68421052631578,5,8,8,8,0,0,0.0885322541593529,0.5831233700815013,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_mito_repair,inflammatory_score,19,100.0,0,5,5,5,0,0,0.0200760606244622,0.1513323011939702,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_mito_repair,repair_score,19,89.47368421052632,2,6,7,5,1,2,0.0815569296536388,0.4012823397601746,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_monocyte_macrophage,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_monocyte_macrophage,balance_score,19,84.21052631578947,3,8,7,7,1,0,0.0213680463230345,0.3293986957312935,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_monocyte_macrophage,inflammatory_score,19,89.47368421052632,2,5,5,5,0,0,0.0213680463230345,0.2177810227922507,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_monocyte_macrophage,repair_score,19,100.0,0,6,6,6,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nad_consumption,NAMPT_z,19,100.0,0,10,11,10,0,1,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nad_consumption,balance_score,19,78.94736842105263,4,8,7,7,1,0,0.0870473038690517,0.4032613155103858,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nad_consumption,inflammatory_score,19,84.21052631578947,3,5,5,4,1,1,0.0908350757903625,0.6019451413796684,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nad_consumption,repair_score,19,94.73684210526316,1,6,7,6,0,1,0.0161239560413353,0.0857652219518363,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nad_salvage_core,NAMPT_z,19,100.0,0,10,11,10,0,1,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nad_salvage_core,balance_score,19,78.94736842105263,4,8,7,7,1,0,0.0266514027624693,0.1642630257594385,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nad_salvage_core,inflammatory_score,19,100.0,0,5,5,5,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nad_salvage_core,repair_score,19,89.47368421052632,2,6,5,5,1,0,0.0266514027624692,0.1721976567017006,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nampt,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nampt,balance_score,19,100.0,0,8,8,8,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nampt,inflammatory_score,19,100.0,0,5,5,5,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nampt,repair_score,19,100.0,0,6,6,6,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nfkb_module,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nfkb_module,balance_score,19,68.42105263157895,6,8,4,3,5,1,0.1205754550323407,0.7754919674007735,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nfkb_module,inflammatory_score,19,68.42105263157895,6,5,3,1,4,2,0.1205754550323407,1.1069088664334676,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_nfkb_module,repair_score,19,100.0,0,6,6,6,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
