gene_symbol,module,score_group,rationale,GC-DO-11238-3-2-PLA-12_S23,GC-DO-11238-10-2-PLA-40_S36,GC-DO-11238-3-1-KET-9_S30,GC-DO-11238-1-2-KET-4_S20,GC-DO-11238-8-2-PLA-32_S4,GC-DO-11238-6-1-KET-21_S37,GC-DO-11238-10-1-KET-37_S8,GC-DO-11238-7-1-KET-26_S34,GC-DO-11238-10-1-KET-38_S18,GC-DO-11238-4-1-KET-14_S28,GC-DO-11238-1-1-PLA-2_S32,GC-DO-11238-8-1-KET-29_S29,GC-DO-11238-3-1-KET-10_S38,GC-DO-11238-3-2-PLA-11_S24,GC-DO-11238-7-2-PLA-28_S16,GC-DO-11238-2-1-KET-6_S27,GC-DO-11238-1-2-KET-3_S7,GC-DO-11238-6-2-PLA-24_S3,GC-DO-11238-6-2-PLA-23_S12,GC-DO-11238-8-1-KET-30_S39,GC-DO-11238-2-2-PLA-8_S40,GC-DO-11238-2-1-KET-5_S35,GC-DO-11238-7-2-PLA-27_S10,GC-DO-11238-9-1-PLA-33_S5,GC-DO-11238-6-1-KET-22_S21,GC-DO-11238-9-2-KET-35_S15,GC-DO-11238-9-2-KET-36_S33,GC-DO-11238-4-1-KET-13_S11,GC-DO-11238-9-1-PLA-34_S22,GC-DO-11238-1-1-PLA-1_S19,GC-DO-11238-8-2-PLA-31_S14,GC-DO-11238-10-2-PLA-39_S9,GC-DO-11238-4-2-PLA-15_S25,GC-DO-11238-4-2-PLA-16_S17
BST1,nad_consumption_inflammation,inflammatory,CD38 paralogue and immune ectoenzyme with NAD-related activity,11.307066,21.223824,14.170362,17.417509,10.30834,28.876118,19.42058,19.245899,14.450636,21.183018,24.907871,20.563899,11.462138,22.254256,15.242299,12.212518,22.194172,17.773383,22.220069,15.669366,10.645525,12.301529,19.366389,17.989552,13.481578,38.684737,25.099613,46.771948,20.078319,27.24649,29.068856,16.561372,15.967938,17.318533
PARP1,nad_consumption_repair,both,NAD-consuming DNA damage response enzyme; repair marker and NAD consumer,2360.125575,2763.070317,2613.88723,2418.756966,3233.041604,2911.622683,3258.098992,2784.775284,2888.063695,2414.550636,2195.742263,3200.204989,2625.73388,2631.019784,2870.861653,2552.939555,2372.066691,2709.090041,2771.334237,3305.984988,2453.211963,2494.953814,3169.462299,2973.541601,2640.636718,2713.181884,2440.907015,2493.42498,2923.132565,2418.195393,2935.595524,2370.16464,2832.874093,2533.748308
PARP2,nad_consumption_repair,both,NAD-consuming DNA damage response enzyme; repair marker and NAD consumer,463.589334,440.983765,474.235396,573.75279,437.532164,440.360797,518.961085,461.901831,558.156696,496.419382,579.674216,556.083002,447.023536,500.720472,464.441007,560.147427,544.285143,415.897896,427.230762,455.531012,505.307833,606.131524,512.747485,513.701698,432.30891,498.40347,518.725584,495.490621,626.991313,651.095694,500.184371,557.242405,526.940525,434.785553
SIRT1,sirtuin_repair,repair,NAD-dependent deacetylase linked to mitochondrial biogenesis and inflammatory restraint,213.094533,185.118896,185.159426,193.641589,254.272185,249.056642,238.441337,242.092769,201.40554,215.513885,210.584862,162.79748,230.197606,243.405781,249.256644,240.993582,206.088616,180.103583,190.89026,305.552617,290.977762,190.114245,224.096937,233.864304,214.806174,189.824804,240.770374,178.318142,230.901086,184.148896,184.436716,193.865352,167.193572,343.636491
SIRT3,sirtuin_repair,repair,NAD-dependent mitochondrial deacetylase and oxidative metabolism regulator,821.066362,844.23607,944.691624,972.306872,923.169146,731.528697,1073.52485,772.874604,1071.155048,702.724103,863.47045,856.829607,835.780918,816.454135,815.014495,750.663895,898.336843,712.119508,760.532324,679.379313,674.92657,800.717686,762.667228,787.542986,785.527377,788.087749,680.479316,903.282245,817.736157,901.953454,941.229822,809.558766,880.114854,761.104902
SIRT6,sirtuin_repair,repair,NAD-dependent chromatin and DNA repair regulator,129.596412,114.37285,109.584105,124.996262,105.374146,132.348844,86.313686,125.604841,94.832282,116.046117,156.240279,111.38782,108.890306,91.798829,116.558733,113.983548,145.847419,99.530947,101.000333,97.373947,120.649269,87.229023,100.520772,109.936207,121.334229,110.656348,144.090305,133.007722,105.867526,104.288247,99.235031,104.239223,107.079089,101.17668
PRKAA1,ampk_mitochondria_repair,repair,AMPK catalytic subunit alpha1; energy stress and exercise adaptation,437.496476,423.297352,522.414054,453.879785,419.205841,484.878141,495.224725,466.966326,464.226634,406.161312,488.345173,460.117162,406.905853,458.994038,495.822978,454.305657,512.579698,380.350406,370.671223,439.861509,559.9546,594.94661,542.258845,435.746966,431.410467,506.500165,456.44108,431.178844,399.741151,517.683126,498.18002,602.054578,482.795254,411.998872
PRKAA2,ampk_mitochondria_repair,repair,AMPK catalytic subunit alpha2; skeletal-muscle energy adaptation,2511.041185,2444.297558,2971.985498,3101.322347,3075.320138,3510.859651,2562.410435,2278.099697,2332.856892,2716.952089,2502.842958,3480.447475,3210.343895,2883.317093,2673.677758,2582.532847,3414.764995,2585.425014,2932.002933,3074.554147,2698.288437,2935.586639,2595.123822,2675.446148,2954.271015,3423.14921,2963.613819,2579.758166,2888.549865,3177.514349,3229.648482,2665.400966,2604.675147,2625.110558
PPARGC1A,ampk_mitochondria_repair,repair,PGC-1alpha mitochondrial biogenesis and endurance adaptation regulator,6056.237226,4988.777279,925.797057,6388.124953,7550.27599,856.65809,1094.025797,10578.152773,1281.59065,10639.414573,6916.085385,968.216747,4536.142001,1236.50212,11249.718805,9003.898085,1166.779354,3506.096113,827.192729,8312.613805,9876.190803,853.278691,1183.194045,984.428351,4301.525212,1020.197491,7312.353429,1059.676819,4272.119466,1013.757199,793.880435,593.286793,1088.637547,15865.590455
TFAM,mitochondrial_biogenesis,repair,Mitochondrial transcription factor and mtDNA maintenance marker,512.297014,392.640825,355.203884,444.658564,404.315841,378.998868,419.700027,534.834067,307.979093,384.05693,390.978181,424.130293,439.381703,414.485398,582.793855,474.659853,328.685126,372.056125,311.081057,429.788549,548.600457,375.755378,520.126169,427.751944,390.9662,406.639372,409.960517,381.483967,423.470328,354.204294,350.830755,325.382485,395.441392,582.450115
NRF1,mitochondrial_biogenesis,repair,Nuclear respiratory factor involved in mitochondrial biogenesis,288.764884,317.178446,420.387151,435.436998,334.44876,304.402236,323.676093,308.947229,336.879177,263.406877,344.936153,363.295278,355.326267,275.396083,329.950377,258.905474,410.064855,361.392239,373.701356,374.945219,317.237416,370.163946,331.995183,345.799045,337.039449,428.231238,423.903837,273.323471,306.650746,454.735695,356.845215,349.736879,317.479373,247.01714
NFE2L2,oxidative_stress_repair,repair,NRF2 antioxidant and stress-adaptation regulator,668.489347,681.698344,512.940045,741.961807,814.28821,669.599073,512.469154,691.835091,737.768606,859.756972,749.228618,602.333724,849.721889,627.223852,792.102396,615.24071,531.620272,988.199253,712.696855,811.453106,652.926772,578.145043,627.238506,702.615496,699.446657,703.537148,772.646263,469.523213,726.467211,545.843398,603.4314,756.988802,588.272162,1121.147256
SOD2,oxidative_stress_repair,repair,Mitochondrial antioxidant defense marker,14177.079128,15580.639615,12824.157402,14876.73762,15356.897005,15495.910969,14139.004324,11962.772464,13583.978362,15334.83628,13251.679992,13308.948828,14431.463479,12231.027054,16609.115456,16980.683681,14016.002838,15782.483344,12305.314448,13332.545625,16306.520899,16144.833304,13907.851648,12257.748244,14537.223251,13880.24751,13474.3189,13394.292157,13414.9425,16500.279815,15063.408643,12989.582101,13510.292307,14269.128976
CAT,oxidative_stress_repair,repair,Antioxidant enzyme relevant to oxidative stress resolution,1396.86051,1206.219684,1155.356248,947.716947,1046.868112,1210.389549,1064.894997,1111.195547,1033.218715,1022.309437,948.763893,747.15555,1247.464411,1719.141645,1152.138841,1276.61667,1047.354536,1073.514025,1096.8614,798.018804,1289.525208,1276.000364,1351.956702,908.471482,1107.287156,1039.092783,1055.11295,1316.923573,950.071392,902.892529,1096.598203,1056.032077,1177.87277,1025.44102
GPX1,oxidative_stress_repair,repair,Glutathione peroxidase and oxidative damage protection marker,1298.990834,1143.458948,1545.116536,1386.894269,1246.664631,1032.683531,1309.558897,1472.628684,1264.714965,1631.799082,1172.620634,1491.780464,1308.106557,1657.491827,1435.157204,1106.550802,1574.543218,1473.614684,1197.801197,1249.451377,958.996394,885.618732,1185.38598,1115.475422,1166.791624,1124.528972,1038.060774,1490.939253,1097.62574,1368.584857,1432.119502,1071.4442,1375.34401,1482.389796
NFKB1,nfkb_inflammation,inflammatory,NF-kB transcription factor subunit linked to chronic inflammatory signalling,390.528664,444.520457,253.177154,281.753692,471.892459,291.167809,308.571562,347.439432,319.72095,381.29449,417.395205,317.883369,386.846123,265.660249,451.88921,348.464558,224.055488,363.761409,296.940856,472.31897,396.013346,257.213811,362.428247,329.80769,346.925446,318.474102,296.547458,273.323427,316.689768,272.464863,354.840222,404.292373,328.752148,411.085924
RELA,nfkb_inflammation,inflammatory,NF-kB p65 subunit and inflammatory transcriptional activation,685.383428,745.193643,707.573696,764.322265,820.086162,628.056171,673.248397,732.358032,690.017909,690.750531,661.944746,601.494415,794.708495,694.05373,821.290736,696.926084,591.845051,803.355414,748.412839,850.623995,643.701993,683.294423,653.846913,674.373656,850.236428,669.334712,790.173403,518.876013,756.587759,576.873654,566.34141,679.015415,604.901799,659.01871
TNF,nfkb_inflammation,inflammatory,Canonical inflammatory cytokine relevant to obesity inflammation,4.348872,1.179101,9.446909,2.049119,11.453711,4.812686,2.157842,12.155306,10.837976,10.131008,1.509568,0.856829,3.820712,1.390891,25.104964,4.885007,1.056865,3.554677,1.010003,14.550126,4.967912,1.118321,3.688836,0.99942,1.797544,2.698935,0.929615,2.923246,8.213859,1.879068,5.011871,2.922595,3.757162,1.823003
IL6,nfkb_inflammation,inflammatory,Exercise-responsive and inflammation-associated cytokine with context dependence,0.0,1.179101,1.889382,10.245593,2.295261,0.004747,0.0,1.248776,8.128482,1.842001,0.754784,1.713658,0.0,0.0,33.174413,0.006424,0.0,34.362248,1.010003,2.238481,1.419403,1.118321,3.688836,0.0,1.797544,0.0,10.225768,2.923246,0.0,0.939534,0.0,0.0,0.0,4.557509
IL1B,nfkb_inflammation,inflammatory,Inflammasome-related inflammatory cytokine,0.869774,2.358203,2.834073,2.049119,6.872227,1.203171,1.078921,1.012942,3.612658,4.605004,9.812191,0.0,0.0,1.390891,9.862664,4.885007,0.0,7.109353,3.03001,6.715443,2.129105,1.118321,0.0,0.0,0.0,0.0,1.85923,0.0,0.0,5.637204,1.002374,0.0,0.93929,14.584028
CCL2,nfkb_inflammation,inflammatory,Monocyte recruitment chemokine relevant to adipose inflammation,115.679877,43.626741,38.732326,173.150575,256.563033,40.90783,15.104894,348.452837,30.707598,367.479198,43.022674,34.273153,171.932021,38.944954,1225.660739,70.018416,13.73925,659.985769,32.320107,330.176488,122.778493,32.4313,35.043932,31.981425,95.269797,12.595031,127.357244,54.080058,26.46688,9.39534,36.085467,54.555089,33.814454,305.352472
CXCL8,nfkb_inflammation,inflammatory,Neutrophil/innate immune chemokine and inflammatory activation marker,4.348872,1.179101,0.0,3.073678,0.0,0.0,0.0,2.025884,0.903165,15.657012,6.038272,0.0,1.910356,6.954455,12.552483,0.814168,0.0,3.554677,0.0,0.0,2.838807,0.0,0.0,0.99942,0.898772,0.0,3.718461,0.0,1.825302,2.818602,2.004749,0.0,0.93929,6.380512
TLR4,innate_immune_inflammation,inflammatory,Innate immune receptor linked to lipid-induced inflammation,84.368108,78.999791,85.96687,60.449009,113.391744,46.923692,64.735258,169.161337,73.156337,148.281114,89.819291,84.826069,85.966025,66.762769,138.973906,142.479385,81.378632,80.572672,34.340113,109.685567,124.907338,111.788573,130.031458,59.965167,88.079643,63.874799,132.005363,84.774146,99.478962,79.860377,71.168574,97.419812,99.56478,80.212153
NLRP3,innate_immune_inflammation,inflammatory,Inflammasome component relevant to metabolic inflammation,7.827969,5.895507,56.681449,8.196475,9.162969,31.282458,20.499496,25.323555,9.934811,8.289006,7.54784,26.561702,25.789804,30.599603,11.655877,28.495881,30.649097,30.807198,43.430151,12.311646,7.806717,29.076336,16.599761,9.994197,22.469297,34.186512,24.169996,48.233577,9.126509,8.455806,41.097357,16.561372,14.089357,7.292014
CASP1,innate_immune_inflammation,inflammatory,Inflammasome effector supporting IL1B maturation,43.236108,26.388402,37.592851,16.320959,26.319768,27.939715,32.917091,59.45106,34.327051,76.987275,39.648337,55.01436,40.491899,61.144916,31.883524,44.386515,44.745204,49.220465,56.764484,26.839901,31.388276,50.072627,36.881592,37.558623,40.258369,27.38697,38.467579,80.967226,29.064891,47.293501,42.132589,35.453051,54.119589,58.615114
ITGAM,monocyte_macrophage,inflammatory,Myeloid/macrophage marker useful for immune-cell infiltration context,49.577142,37.731244,53.84738,15.36839,51.541697,37.298316,26.973022,40.517686,26.19178,71.838055,30.946136,62.548516,37.251941,40.33584,29.587993,26.053371,23.251038,47.395689,56.560179,48.127358,27.678364,26.839695,28.588477,23.986071,32.355787,27.888995,43.691916,32.15571,27.379531,23.488348,32.075977,44.813124,33.814454,53.778596
CD14,monocyte_macrophage,inflammatory,Monocyte marker and LPS co-receptor,81.758791,61.313271,68.962419,96.308593,138.589839,50.533207,33.446554,134.721397,58.705696,132.624102,70.194908,37.700482,44.893369,68.153655,104.902925,77.345895,20.080442,190.767776,29.2901,90.65847,85.873959,49.206106,49.799254,40.976198,106.953845,43.182942,191.500412,61.388158,83.051299,35.7023,32.075981,118.852176,46.025207,195.972875
CD68,monocyte_macrophage,inflammatory,Macrophage marker used for tissue inflammatory burden,31.361773,39.273295,56.764475,10.151059,11.223529,12.819212,9.564563,11.979524,13.166297,18.128502,17.358119,15.609462,28.472793,66.529026,13.527478,5.220807,12.164235,22.513811,15.25562,25.930785,21.844715,39.614338,42.332539,31.38304,9.856835,35.506853,31.262692,34.488774,11.626706,9.780214,57.256444,36.366064,15.325661,48.665516
ADGRE1,monocyte_macrophage,inflammatory,Macrophage marker; human ortholog context should be checked per dataset,0.0,2.358203,0.0,0.0,3.436113,0.0,0.0,8.103537,1.806329,2.763002,0.0,0.0,0.0,0.0,0.0,3.256671,0.0,1.184892,0.0,1.11924,0.709702,0.0,0.0,0.99942,0.0,0.0,1.85923,0.0,0.0,0.939534,5.011871,0.0,0.0,0.911502
MRC1,macrophage_resolution,repair,Macrophage alternative activation/resolution marker,26.093229,22.402926,29.285417,5.122797,22.907423,20.453915,26.973024,16.207074,13.54747,11.052008,11.321759,34.273159,21.013917,23.645147,11.655876,18.72586,17.966711,20.143168,17.170057,16.788607,24.129856,44.732828,47.954864,28.98317,7.190175,17.992901,26.958842,46.771942,8.213859,13.153476,26.061731,42.864727,39.450196,30.991059
ARG1,macrophage_resolution,repair,Resolution/repair-associated macrophage marker; human tissue context should be interpreted carefully,0.0,0.0,0.0,2.049119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.390891,0.0,0.814168,2.113731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929615,1.461623,0.0,0.0,0.0,0.0,0.0,0.0
PPARG,adipose_metabolism_resolution,repair,Adipose metabolism and anti-inflammatory transcriptional regulator,56.535337,40.089442,44.400467,22.540305,22.907421,27.672942,43.156839,56.72476,48.770895,39.60303,33.210494,61.6917,36.296763,41.726725,34.071029,48.850068,44.388349,15.403598,41.410133,25.742533,30.517176,60.389309,65.476812,63.962854,8.987719,28.788642,59.495371,78.927642,30.117487,38.520894,34.08073,33.122744,71.386076,49.221091
ADIPOQ,adipose_metabolism_resolution,repair,Adipocyte metabolic health marker often reduced in obesity inflammation,13.046615,1.179101,51.013296,3.072673,18.325937,2e-06,0.0,0.0,6.322153,6.447005,9.812191,26.561702,0.955178,20.863365,0.0,46.407552,11.625519,0.0,51.315508,4.476962,39.033585,1.118321,33.199511,309.626142,17.076665,26.08971,197.462412,150.547301,3.650604,0.0,1.002374,5.84519,39.450181,63.805136
LEP,adipose_metabolism_inflammation,inflammatory,Adiposity-linked hormone and inflammatory-metabolic signal,6.08842,0.0,2.834073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856829,0.0,0.0,0.0,10.584182,0.0,0.0,4.040013,0.0,2.838807,0.0,4.611045,34.979688,9.886491,0.899645,28.818072,0.0,0.0,0.0,0.0,0.0,5.635742,4.557509
INSR,insulin_metabolism,repair,Insulin signalling receptor and metabolic health marker,1541.221385,1643.676652,1429.324097,1343.210796,1303.414891,1361.982472,1166.314885,1104.116081,1861.40913,1462.554296,1195.577141,1347.77933,1589.420954,1472.955632,1375.383189,1335.235065,969.146048,1427.80671,1170.584369,1376.651582,1464.083658,1293.881892,1224.691533,1065.377926,1565.649396,1214.527851,1154.57168,1368.077619,1320.621413,1095.501016,1170.781364,1525.596631,1283.077764,1461.124945
IRS1,insulin_metabolism,repair,Insulin signalling adaptor relevant to skeletal muscle and adipose metabolism,1228.121321,1687.294046,1835.534369,1895.43452,1611.537207,2200.601068,3023.136293,1344.174218,1002.51277,1513.204276,1542.023621,2193.482398,1253.193613,2735.882135,1364.634098,1162.63178,2321.933189,1718.093736,2700.748911,1734.822745,1082.295013,1637.221499,1276.337146,2601.489338,1438.933425,2792.497588,2320.319624,1824.105752,2372.892675,2178.778914,1934.58225,2438.41846,1750.837377,1311.651121
SLC2A4,insulin_metabolism,repair,GLUT4 glucose transport and exercise/metabolic adaptation marker,7259.347864,8045.267084,8552.898137,6966.054461,6901.703425,7863.882348,9441.322367,6894.195479,9370.403887,6415.95806,5762.86432,7071.269834,7823.236645,8840.290776,7673.745607,6848.890418,8052.722629,6980.028304,7560.278353,7022.054113,5900.065836,7461.268043,8472.404503,6228.594536,7412.170682,6462.167113,6524.756894,7356.379535,7458.962278,8427.396211,7880.433664,6895.429169,7287.639866,6238.2129
AKT2,insulin_metabolism,repair,Insulin signalling kinase relevant to glucose metabolism,4454.096814,4921.550078,4246.322286,4691.469702,5027.019993,4158.144755,4662.051225,5857.784045,4569.072961,5049.866671,4388.360723,4209.574839,4279.234083,4353.509959,5056.916075,4547.922095,4389.174212,4867.534973,4332.930571,4769.077676,3994.225477,4307.775961,4221.871089,3861.72384,5108.612252,3987.267292,4320.822102,4561.706378,4215.511929,4889.304719,4487.613528,4156.877228,4330.124509,4952.15248
MTOR,nutrient_sensing,both,Nutrient-sensing kinase; context-dependent growth/adaptation signal,1124.624868,1307.622833,898.404539,1083.986528,933.477487,1263.327552,1336.784135,1024.088459,1125.34581,865.742802,994.050285,1146.437489,1096.542896,1313.000193,1040.958512,947.688985,918.412899,1079.434943,1222.105019,1150.577574,1220.684928,1012.079001,1157.369156,887.485255,1074.925115,770.998557,762.285116,942.745536,916.304474,979.933974,980.321685,1162.227665,1050.131686,1055.513122
FOXO3,stress_repair,repair,Stress resistance and mitochondrial/autophagy-related transcription factor,973.648633,887.708884,609.116657,756.655454,908.676468,1115.689952,821.983882,770.465528,843.470898,1303.01903,747.589829,848.467785,1068.591462,801.761235,918.273675,1048.229968,835.890447,702.124583,1038.064214,1006.917211,1350.891096,927.709267,879.547189,887.154149,901.633353,862.270688,1294.368699,819.234629,1152.817955,819.047032,731.947114,1011.642192,653.99176,981.642204
ATM,dna_damage_repair,repair,DNA damage response kinase linked to repair signalling,239.188041,231.103903,254.121643,199.789133,199.294493,261.088026,229.810183,209.67927,276.368771,268.011094,209.074948,227.059601,222.556371,243.406163,220.565284,225.524518,244.135768,194.32229,252.500972,232.802242,322.914163,306.419632,284.04046,294.82907,221.99665,291.484558,201.726194,210.473718,259.192948,229.246557,253.600312,239.6526,246.094165,216.937179
XRCC1,dna_damage_repair,repair,Base excision repair marker,214.836842,172.148907,235.228201,248.045821,176.329168,240.634258,192.0479,193.472134,213.146694,237.526471,254.210513,209.066101,266.494562,234.91758,182.907729,245.878937,258.931916,199.061841,261.97208,177.064319,212.200706,297.472691,232.396353,245.810202,266.908254,282.311654,271.30163,245.552831,286.258281,266.827659,183.434433,204.581593,262.062044,215.114578
OGG1,dna_damage_repair,repair,Oxidative DNA damage repair enzyme,180.742992,145.716938,161.410936,170.034827,122.83112,160.893342,115.855082,151.171939,134.864219,143.336975,180.235696,183.436709,152.496693,179.261459,125.438627,140.201365,154.728597,136.372262,161.655228,187.54275,185.134407,193.935948,205.233081,161.226995,187.520735,169.043053,156.189714,231.287598,134.181328,181.812132,204.683373,214.572091,216.818736,185.514583
ATG5,autophagy_repair,repair,Autophagy machinery marker relevant to exercise adaptation and repair,445.32402,503.476029,333.476282,320.687103,355.065231,418.70371,463.936511,395.046878,415.455825,370.241807,378.146923,414.706115,386.846764,375.540407,411.542795,395.685497,350.87904,385.089831,381.78166,386.138444,477.629079,451.801663,389.171686,365.787773,470.956347,374.252507,344.887223,406.331071,386.051302,374.873669,470.113326,421.827705,419.862225,405.618499
BECN1,autophagy_repair,repair,Autophagy initiation marker,1559.775332,1860.305869,1639.916704,1949.227012,1778.222964,1992.267786,1837.28098,1559.08525,1728.45132,1705.520737,1661.008788,1778.158188,1862.864693,1482.60375,1769.844012,1917.817477,2111.803018,1853.106217,1712.668643,1618.609049,1686.515694,1885.913933,1652.314586,1588.163583,1749.699924,2104.113836,1920.319987,1694.657179,1736.945473,2164.551718,1838.319935,1946.522977,1625.240311,1561.783689
MAP1LC3B,autophagy_repair,repair,Autophagosome marker and cellular repair process indicator,3082.889974,3230.855176,2866.428517,3527.97702,3681.055654,3655.185004,3492.2417,2941.810497,3104.482542,3151.803159,3308.053337,3214.747025,3227.870106,3407.88098,3495.317198,3302.976575,3743.277503,3586.13217,3198.10355,3489.129182,3347.043416,3489.946344,3072.138187,2705.426053,3476.643103,3108.110688,2958.482779,2881.601199,2916.741111,3590.920325,3776.981061,3319.535436,2597.465588,3027.425308
