gene_symbol,module,score_group,rationale,CTR_RNA_S1,CTR_RNA_S2,CTR_RNA_S3,CTR_RNA_S4,Exercise24H_RNA_S5,Exercise24H_RNA_S6,Exercise24H_RNA_S7
PPARG,adipose_metabolism_resolution,repair,Adipose metabolism and anti-inflammatory transcriptional regulator,1.1682684780749792,1.4432597264734957,0.851719862457645,0.7749637031711635,0.5077976841234835,0.9810532883946981,1.3028705771102296
ADIPOQ,adipose_metabolism_resolution,repair,Adipocyte metabolic health marker often reduced in obesity inflammation,0.04330530447934988,0.20731815734932263,0.2850624426681702,1.6231748389077683,0.0,1.307895358231117,0.0
LEP,adipose_metabolism_inflammation,inflammatory,Adiposity-linked hormone and inflammatory-metabolic signal,0.0,0.0,0.0,0.08752122678584784,0.0,0.6855356439030228,0.0
INSR,insulin_metabolism,repair,Insulin signalling receptor and metabolic health marker,3.221181234300816,2.7418589147508308,2.996963359761876,2.702010512478997,2.9854873148358063,2.8572724081298246,2.8430833856890327
IRS1,insulin_metabolism,repair,Insulin signalling adaptor relevant to skeletal muscle and adipose metabolism,2.9148515032464135,3.6061592284183983,3.6477899563767524,4.131332825081152,3.5844706983453034,2.78686563983328,3.382591450477312
SLC2A4,insulin_metabolism,repair,GLUT4 glucose transport and exercise/metabolic adaptation marker,7.0384969913928215,6.698670986131961,7.220748490504431,6.693385393769191,6.855515886484356,6.885067025845164,6.843606405850915
AKT2,insulin_metabolism,repair,Insulin signalling kinase relevant to glucose metabolism,6.9427177702693434,6.748499996861727,6.832241009785267,6.781779266923458,6.785470882224529,6.736205779111433,6.731531366530266
MTOR,nutrient_sensing,both,Nutrient-sensing kinase; context-dependent growth/adaptation signal,3.6521756653436483,3.3638147484378353,3.542663804861376,3.594884940125062,3.6925478268134304,3.39647737316917,3.7311611881586666
FOXO3,stress_repair,repair,Stress resistance and mitochondrial/autophagy-related transcription factor,2.5344951926567525,2.845894651345668,3.5548697508193703,3.1173921778904954,2.1293288526992784,2.435306151680906,2.165167814735059
ATM,dna_damage_repair,repair,DNA damage response kinase linked to repair signalling,1.6037922490851058,1.2977314088574774,1.4214236801951121,1.3171842247513812,1.4976476182935645,1.5066374836173955,1.3079011854043325
XRCC1,dna_damage_repair,repair,Base excision repair marker,2.9919136163792603,2.618965459208765,2.9627094779640455,2.8551385750502916,2.645494852857157,2.8334607023034595,2.176839113985801
OGG1,dna_damage_repair,repair,Oxidative DNA damage repair enzyme,1.9030475280192987,1.8580132315393632,1.8047297154367388,2.220885873572798,1.9226176534409176,1.9766924667306214,1.8173093092845167
ATG5,autophagy_repair,repair,Autophagy machinery marker relevant to exercise adaptation and repair,2.906988118497046,2.698971861785988,2.9286001883293133,2.3483355461493276,2.8243609496560125,2.92083501910084,2.6447224699888463
BECN1,autophagy_repair,repair,Autophagy initiation marker,5.792629015727908,5.350086444837867,5.5741633149219885,5.1945191889992,5.390477156900664,5.321211727175553,5.315239681452649
MAP1LC3B,autophagy_repair,repair,Autophagosome marker and cellular repair process indicator,6.667268785490438,6.277569280549624,6.350128428705045,6.405898581450353,6.437974881290827,6.322489464531649,6.168284847310625
SQSTM1,autophagy_repair,both,Autophagy adaptor; accumulation may indicate stress or altered flux,8.826936774219847,8.10716939654457,8.245973360466499,8.39513523244134,8.456340035320359,8.38852609229143,8.51596361450455
UCP2,mitochondrial_stress,both,Mitochondrial uncoupling and metabolic stress/adaptation marker,4.407965460462053,4.7547192313623095,5.159418198847005,5.07228878470607,4.553599990495542,5.236182539564443,4.584313021557329
UCP3,mitochondrial_stress,repair,Skeletal muscle mitochondrial fatty acid handling and exercise adaptation marker,7.334616755583021,7.109937898022484,6.637376713813931,7.535463435799804,5.663465427207499,7.082745320789809,5.993200721400977
