gene_symbol,module,score_group,rationale,ATS0263,ATS0264,ATS0265,ATS0266,ATS0267,ATS0268,ATS0269,ATS0270,ATS0271,ATS0273,ATS0274,ATS0275,ATS0276,ATS0277,ATS0278
PARP2,nad_consumption_repair,both,NAD-consuming DNA damage response enzyme; repair marker and NAD consumer,8.99792828269169,8.96132229199948,9.00034218567992,8.96340259281854,8.49900881888763,8.43522315401249,8.56304400602215,8.55229912161346,7.80278828462188,8.09916246962318,7.91401343316437,8.43387612413749,8.50973149577648,8.43256132707957,8.23718893421676
SIRT1,sirtuin_repair,repair,NAD-dependent deacetylase linked to mitochondrial biogenesis and inflammatory restraint,9.09679463895611,9.07293115733664,9.10231862477467,9.1354165749109,9.03651938439276,9.10182505253026,9.00494042494902,8.81405510387888,6.5674465279569,7.89301535869378,7.89812754138646,9.06081425898582,8.88183367053153,8.97132029447801,8.9761420527713
SIRT3,sirtuin_repair,repair,NAD-dependent mitochondrial deacetylase and oxidative metabolism regulator,7.87706400265571,8.01901039771294,7.94635016760961,8.06105488592114,7.85774770164353,7.82315622872671,7.94692872412799,8.01079443698617,7.66559987534004,7.55059505753684,7.31535882636449,7.91954217779572,8.0068338188688,8.05265945680558,8.29082001675955
SIRT6,sirtuin_repair,repair,NAD-dependent chromatin and DNA repair regulator,8.32575321904546,8.3978804107168,8.37971922607005,8.32151688148195,8.29308838173551,8.06225784506694,8.22433360543989,8.43831882846239,8.51176841366409,8.33148391437974,8.27540306188192,8.00465384403842,8.12853583714544,8.17618366931258,8.24173521724601
PRKAA1,ampk_mitochondria_repair,repair,AMPK catalytic subunit alpha1; energy stress and exercise adaptation,10.5745101290321,10.6700952371079,10.6533390618477,10.6166998249769,10.2009948788293,10.3174799676029,10.1692550337877,9.94593122915667,9.69180990000862,9.90791263561349,9.93696004785887,9.96593750497883,9.86284881439182,9.9467567571455,9.92756444073272
PRKAA2,ampk_mitochondria_repair,repair,AMPK catalytic subunit alpha2; skeletal-muscle energy adaptation,8.0168476097402,8.0942423572348,7.93298281680479,7.91850370411641,8.23058808170344,8.43233770072094,8.06659827756435,7.54889697516799,8.07969800824821,8.37178410121124,8.21258618305085,8.88800610523794,8.55572739311094,8.69977759929725,8.44068714562526
PPARGC1A,ampk_mitochondria_repair,repair,PGC-1alpha mitochondrial biogenesis and endurance adaptation regulator,6.39037973479249,6.01194861156037,6.22041258148678,6.19949327682841,6.69816695741795,6.70773836908965,6.65274645863448,5.96571927569446,5.44673974096918,6.40144349702465,7.19031158810827,7.30564665845344,7.38035413744223,7.52144277820737,7.34545299699149
TFAM,mitochondrial_biogenesis,repair,Mitochondrial transcription factor and mtDNA maintenance marker,9.75763610435387,9.64783750262699,9.76132877177297,9.69985080048599,8.74237022690844,9.00806702176855,8.9214239786177,8.53127209754184,9.37757965490611,9.17955398034603,9.75946032796254,9.0082298959746,8.7296533443052,9.01607909609641,8.94303723525548
NRF1,mitochondrial_biogenesis,repair,Nuclear respiratory factor involved in mitochondrial biogenesis,8.21402304216443,8.05293276011827,8.03347339525162,8.08426763838983,8.09681531842995,8.19077743166906,8.22433360543989,8.2644495513456,7.25145925536012,7.47852965145916,7.31535882636449,8.20134105242941,8.27324174877104,8.18492578012863,8.28642620815527
NFE2L2,oxidative_stress_repair,repair,NRF2 antioxidant and stress-adaptation regulator,11.5491482012085,11.5399332985198,11.5897657572046,11.612057699257,11.7218409891231,11.8988699178836,11.6537287381763,11.6162052052596,12.2636324619507,12.0183360762946,12.1024751149692,11.9470522635177,11.9027134531444,11.8927264588694,11.8562486988876
CAT,oxidative_stress_repair,repair,Antioxidant enzyme relevant to oxidative stress resolution,10.7119798827543,10.5777901739504,10.5962330705924,10.5681641096043,10.5445231264728,10.5205591243188,10.654948185333,10.3865091876688,11.2135864877721,10.7803447701865,11.0301064465586,11.5197550900751,11.5999003547702,11.4289257599991,11.48152831652
GPX1,oxidative_stress_repair,repair,Glutathione peroxidase and oxidative damage protection marker,12.1100387279922,11.9809060673674,11.9814493086245,11.9352879142476,11.3741242658048,11.1922917700044,11.4392702918139,11.6868133439887,12.4297838734634,12.262837045642,12.3235715953205,11.3424358678297,11.3329903212145,11.3996708150856,11.553194003346
NFKB1,nfkb_inflammation,inflammatory,NF-kB transcription factor subunit linked to chronic inflammatory signalling,9.66986459971308,9.54885552485123,9.56533747704586,9.68019245278966,10.2110446763723,10.3057079754427,10.1457946254971,10.0885551303949,12.5538971099287,12.2330804324089,12.2713922765589,10.3088028003923,10.0323334482638,10.2004808128134,10.1553667451992
RELA,nfkb_inflammation,inflammatory,NF-kB p65 subunit and inflammatory transcriptional activation,11.3430946243112,11.3078422437041,11.2856396432902,11.2976579621456,11.188626207244,11.0848144946174,11.1242025784834,11.2431038036518,10.8417836391661,10.9808428475383,10.6794302652505,10.9203866312646,10.9681648171211,10.9323157764831,11.0426276540453
IL6,nfkb_inflammation,inflammatory,Exercise-responsive and inflammation-associated cytokine with context dependence,4.01585147230047,4.46746757085541,4.30569301185792,4.13297645355109,5.62893340799376,5.83549291339981,5.57787729445666,5.33334346060141,2.85468808504516,4.39977744737375,3.71333438997108,5.36198906363717,5.23527406381753,5.7036641534218,5.48242587170896
CXCL8,nfkb_inflammation,inflammatory,Neutrophil/innate immune chemokine and inflammatory activation marker,6.76488867071595,7.13457034764952,7.3387784564655,6.95412244049189,5.90193692931542,6.68843381463287,5.24213287406647,5.47613337830637,7.28310624743962,8.08710745545071,10.6226106428429,5.38833971992695,4.6539519268365,5.99366271162792,5.41784133751268
TLR4,innate_immune_inflammation,inflammatory,Innate immune receptor linked to lipid-induced inflammation,9.66694238847476,9.71156983031969,9.69660762310068,9.66180537882984,9.24954884632165,9.59129660670976,9.08205362574828,9.07781420532631,7.37406780031927,7.61922151298118,7.69242215699176,9.72907377939575,9.59204554219384,9.57196331498728,9.71689372004181
NLRP3,innate_immune_inflammation,inflammatory,Inflammasome component relevant to metabolic inflammation,4.82136439582329,5.07590067043457,4.92400902942289,4.9941941811201,4.68504536852664,4.79665390215751,4.43856601760877,4.06850986294042,2.85468808504516,3.65440817899058,4.30243916932421,4.4329687826451,4.2116553984075,4.62307391163687,4.62786695509654
CASP1,innate_immune_inflammation,inflammatory,Inflammasome effector supporting IL1B maturation,6.25568556134579,6.04642791288954,6.12871610633924,5.85082333777536,6.84898206059637,7.1211968575632,6.8209057848083,6.89758961555037,6.514897138256,6.14427655572512,6.36529690310809,7.57442364750138,7.17917472240939,7.25668567566106,7.4670659609228
ITGAM,monocyte_macrophage,inflammatory,Myeloid/macrophage marker useful for immune-cell infiltration context,4.01585147230047,3.78063791170692,3.25772638168132,3.35133980574359,4.42830311104201,4.33401686026136,4.43856601760877,4.26370328719779,2.85468808504516,4.56412934622727,5.65453779219684,5.22193018040935,4.92855190816257,5.12644416784512,4.7977956075519
CD14,monocyte_macrophage,inflammatory,Monocyte marker and LPS co-receptor,5.10307052337052,4.96788063776377,5.25152696070921,4.86389350964564,3.87839260213595,4.14886141040134,4.21104780190728,4.70217101769422,4.19858284018512,4.70856216159437,4.50583703300823,4.96181032793284,4.77108558082723,5.12644416784512,5.16395631878505
PPARG,adipose_metabolism_resolution,repair,Adipose metabolism and anti-inflammatory transcriptional regulator,6.17492820384612,5.8648905768742,6.22041258148678,6.2500636817642,4.89722544432046,5.16266488512736,4.86704637837369,4.95932420221383,5.65885406325173,5.49928690904003,5.80088426828232,5.53656865693024,5.48458594602051,4.96533565902523,5.63171847060153
INSR,insulin_metabolism,repair,Insulin signalling receptor and metabolic health marker,8.56122457102038,8.45922963281375,8.43289724468743,8.45569662991182,8.73166722078471,8.86990812493424,8.78406419920521,8.67719462146732,7.64140773537928,8.35177485925357,8.03516102176578,9.1568471324698,9.07052572223385,9.06423425249864,9.07367853406438
IRS1,insulin_metabolism,repair,Insulin signalling adaptor relevant to skeletal muscle and adipose metabolism,11.773550239434,11.8565685552515,11.8581359046804,11.8512430157242,10.5414629983056,10.472932495928,10.5641321290016,10.5064695420473,8.60220217783664,8.99842197474793,8.57411873739183,10.4981441010563,10.5626930390014,10.4208138133416,10.3552023369221
SLC2A4,insulin_metabolism,repair,GLUT4 glucose transport and exercise/metabolic adaptation marker,2.85468808504516,3.51495208217957,3.42284695268229,3.70673106487074,4.21868131232462,3.61824248444444,4.48895126051682,4.06850986294042,4.19858284018512,3.97206102215057,5.08917391690059,4.76805172368636,4.92855190816257,5.04836365280382,4.99373262447298
AKT2,insulin_metabolism,repair,Insulin signalling kinase relevant to glucose metabolism,11.151005373298,11.0919939462475,11.141038264862,11.0961723680137,11.0860914371677,10.946615309755,11.1312986207076,11.2317479376252,11.7081851034435,11.3793768959398,11.4985465616956,10.9132557177444,11.1033057997039,10.9439431455546,11.0203223612713
MTOR,nutrient_sensing,both,Nutrient-sensing kinase; context-dependent growth/adaptation signal,10.8810001731417,10.8350298709114,10.8997906543317,10.8632484742376,11.1501709432347,11.0400451744141,11.1567330844368,11.0151288444093,11.1991754193314,11.1055158061587,11.0228059279124,11.1026243806165,11.0386669342976,10.949080936269,10.9623139124543
FOXO3,stress_repair,repair,Stress resistance and mitochondrial/autophagy-related transcription factor,12.5695291820046,12.374968971555,12.3106402815294,12.3481963640369,10.6814845293897,10.592731218772,10.6263536288301,10.6553583744964,10.3984350475385,10.3748239994064,10.6840657451005,10.921480573137,10.928669000824,10.9179760931989,10.867006918094
ATM,dna_damage_repair,repair,DNA damage response kinase linked to repair signalling,10.7845451190524,10.7980307965551,10.8388818139536,10.6880874871121,10.618989810325,10.8531975320613,10.5120756517695,10.2708000128018,10.7932645691472,10.359881657038,10.6007127579464,10.5192526419826,10.4806522367844,10.4208138133416,10.3718796843038
XRCC1,dna_damage_repair,repair,Base excision repair marker,8.66741283128617,8.78341876939525,8.9043574407204,8.88629822451668,8.50153144938001,8.24769996578429,8.54455195604917,8.5807194601829,8.21690560153032,8.20334572577261,7.83277120125341,8.44913408854936,8.55194995961348,8.49363608027866,8.51391840937134
OGG1,dna_damage_repair,repair,Oxidative DNA damage repair enzyme,8.69062429337757,8.70028078535812,8.77556494068471,8.63296328212216,8.44498749001002,8.07711719875147,8.33916138504299,8.52330721434679,8.65144070118405,8.29002435067472,8.38200305731656,8.02108887623128,8.11323268689846,8.10426898371805,8.11365138860162
ATG5,autophagy_repair,repair,Autophagy machinery marker relevant to exercise adaptation and repair,9.9357149588575,9.87682776760008,9.90848169646496,9.96773881814049,9.71267588502074,9.80595737824427,9.62376907180156,9.64571572790416,9.47650797551436,9.69818806328427,9.64998661608337,9.85350865800875,9.71534117132868,9.72057864659132,9.84784389936333
BECN1,autophagy_repair,repair,Autophagy initiation marker,10.4016065048293,10.3800083204165,10.3960282441284,10.4283244602133,10.4705143137131,10.5501287469246,10.4894734353224,10.4820304020269,11.3997443047673,11.2836577196124,11.2878318910696,10.5966241914516,10.4373015623953,10.4318663094467,10.4465993913956
MAP1LC3B,autophagy_repair,repair,Autophagosome marker and cellular repair process indicator,11.5613945446766,11.5797168002376,11.5397037928072,11.6247698987223,12.3708850763925,12.5441978499685,12.2743860540017,12.340101690915,13.5089987711404,13.3052675542916,13.4785334130893,12.4354188467028,12.3413063873845,12.3167815815887,12.3307691852691
SQSTM1,autophagy_repair,both,Autophagy adaptor; accumulation may indicate stress or altered flux,12.8906537265899,12.8676607184902,12.7769022779348,12.7589942977564,14.1827596286252,14.2843263633282,14.1070986187145,14.2497561880981,14.3039087209883,14.3290632538131,14.3758228623452,14.1389628088454,14.2299120578196,14.2146014248815,14.2221148758521
UCP2,mitochondrial_stress,both,Mitochondrial uncoupling and metabolic stress/adaptation marker,8.14845675239883,8.06128998808766,7.81405269869232,8.00376891144423,9.91823064035533,9.65454206505599,10.2066877237184,10.4147598640887,10.6939780031406,10.9445807944368,10.5859272989785,9.96593750497883,9.44301477825736,9.52284173172657,9.47204000288363
UCP3,mitochondrial_stress,repair,Skeletal muscle mitochondrial fatty acid handling and exercise adaptation marker,4.329476306816,4.57497475138663,4.44077444693824,4.43052630150651,4.83038777431874,4.79665390215751,4.53725791107256,4.37651342963632,3.82150399848503,3.97206102215057,4.83093618151166,4.76805172368636,4.6539519268365,4.87661943347096,4.7977956075519
